epoch,train_loss,train_auc,train_f1,train_recall,test_auc,test_f1,test_recall,train_rmse,test_rmse
0,1.5363326102094266,0.5016660036231051,0.49904556464012023,0.489974524573116,0.4972787636581123,0.4953509517376052,0.4846916521312527,0.4999938784129654,0.500000016968809
1,1.3864491771689444,0.5019421020796134,0.49893951070537335,0.48489875746011724,0.49682629570293707,0.49407547713097566,0.4784151495564857,0.4999967072594673,0.4999999493663217
2,1.386433563157582,0.5000878234418792,0.5040948243336071,0.48372327173892243,0.49790536329360263,0.5049368954380052,0.4841524155516125,0.4999984266897061,0.49999999866023537
3,1.3864310974497431,0.4998733930218953,0.5156955265001805,0.4684776549367346,0.49874348995630885,0.5159742826679196,0.46758942665772874,0.4999994846885624,0.49999999527241495
4,1.386431207571329,0.5003811084472551,0.5879447464832043,0.15365959965796394,0.49841353336977656,0.5872822042061226,0.1527394778017253,0.4999998685901318,0.5000000002037277
5,1.386435054342843,0.4998245305980871,0.5686539637850858,0.23312174640599145,0.5016708247792689,0.5708302798652677,0.23431972329043405,0.4999999886627652,0.49999999949876917
6,1.3864371672339504,0.5006466759435984,0.5960045939311434,0.1403765112506659,0.49805191220959105,0.5955847323132615,0.1385865585280824,0.49999998683504454,0.5000000004462595
7,1.3864403308239752,0.5003673839943548,0.5226834895606184,0.3647703609796775,0.49739702299558874,0.5217469546725219,0.36124144045987416,0.4999999390242497,0.4999999996184269
8,1.3864501450093871,0.5002235201632012,0.49939728022536195,0.4947021881887808,0.500290209001449,0.5020571373637386,0.49728063347924034,0.4999989466151013,0.4999999301630463
9,1.3865173143656264,0.5005928198915537,0.505235680352519,0.5085301637808531,0.4974990846968948,0.5043787125295531,0.5064614106128184,0.49998779353804473,0.5000001801780366
10,1.3865287902643861,0.5002383652128529,0.5027544819083926,0.5003901993455236,0.4994602324186463,0.500488360660358,0.4971767355155717,0.49998708297439315,0.5000000711846705
11,1.3865435476260335,0.500542705095414,0.49404846102581906,0.4870871579677744,0.4979028645766709,0.4925671912896957,0.4852378787638865,0.49998425177867534,0.5000005383743823
12,1.3865922708147844,0.49939714384862466,0.49956645890588136,0.49327680144187586,0.4986734802184182,0.49937435443483574,0.4921527965665925,0.49997696645212747,0.49999991808142674
13,1.3864759049073463,0.4998839511625826,0.5024999141999666,0.49855641626389646,0.5010126509991526,0.5042145194796932,0.49833169633492014,0.49999784019744814,0.5000000395966999
14,1.3865106733925139,0.5001140851620909,0.5028053604239175,0.5031275889946956,0.4983056563833793,0.5019815283581811,0.500983600657721,0.49999220897254903,0.49999997497049253
15,1.3866552625001813,0.501147982173662,0.5010849004439906,0.5013726860140549,0.4976157486581906,0.5002546012836415,0.500008210045092,0.4999649246172625,0.49999940150517147
16,1.3868259720738159,0.5010479024210263,0.5118834195817196,0.5225651250298022,0.49707732989920245,0.5108422896485083,0.5214247192627747,0.49993332326692097,0.4999994804282536
17,1.3865395535802627,0.5007097802363147,0.49720971614580906,0.49323572881425737,0.4973514278357181,0.495814761705675,0.49111237659212614,0.49998638054253575,0.5000002850886234
18,1.386611219211544,0.5008106271803803,0.49675777260218773,0.4909565182827538,0.4978683895589507,0.49533317196237825,0.4887572186045847,0.49997330731042305,0.4999997251798929
19,1.3867100752522592,0.5010108344742349,0.49205125890062107,0.4796929260356905,0.4952549189201142,0.4867484236078778,0.47361476311498013,0.49995599269637875,0.5000001142825741
20,1.386575549439999,0.5005449110459426,0.5025774016892182,0.5025508376024909,0.4990059620703944,0.5007658820048008,0.49902165617965777,0.4999793905644045,0.5000001182572065
21,1.386650564959231,0.5005424458538098,0.5044180679757332,0.5082066125179939,0.49930333393350623,0.5031168500217875,0.5064369084113682,0.4999651698450338,0.500002770079632
22,1.3865468240104983,0.5007338281918047,0.5051003533928757,0.4904605834078569,0.4982071772411858,0.5037200900218057,0.4881022441858019,0.49998653513707825,0.49999999428961545
23,1.3864706997914165,0.501055926810241,0.49285547540007385,0.4657161262116445,0.5014497697062663,0.493691080426114,0.46527380417468883,0.4999991608177938,0.5000000067819188
24,1.3867034936165061,0.5006846351576951,0.5045303792243465,0.5082645658539561,0.498368622393099,0.5031152908811373,0.5065726698971416,0.4999543247661673,0.5000001626278439
25,1.3866050131117817,0.5006451961398614,0.48935463271878893,0.47748334670875753,0.5001226275488664,0.48904785816427765,0.47619868402748694,0.4999745590381376,0.5000002863197659
26,1.3865421197874128,0.5001082146254984,0.506370926282568,0.5032420471684764,0.49958929976575467,0.5074498815916426,0.5042882193495426,0.499986805197745,0.5000000188567453
27,1.3866747529517374,0.49996722204262695,0.49965490745768393,0.4987281039491892,0.4986318090940928,0.500195389873433,0.49858138177278366,0.49996026153849593,0.49999809535946305
28,1.3866071615518476,0.4994864797394323,0.5042187871648568,0.502926351005529,0.5006505934062527,0.504800082679893,0.5029049516739966,0.4999752327561473,0.49999992652869707
29,1.3866170468351766,0.5010527656488479,0.5008794633108191,0.5008295545499218,0.49651263562853504,0.49804421186731407,0.4967656158988014,0.49997258139515793,0.5000008073133407
30,1.3864967098685124,0.5015480020186925,0.5044963125159421,0.5030739847997693,0.4968629810207197,0.49891985705344716,0.49590197019971716,0.49999445324103176,0.4999999878277202
31,1.3865150635552512,0.5007926948077519,0.5042088189472584,0.5071991525034288,0.49896323287358013,0.5034061538606773,0.5057334735742385,0.4999904720108012,0.4999997004448999
32,1.386693128823165,0.5004606353851868,0.49345273822654456,0.4868318128451486,0.5005036585357715,0.49500662694895875,0.4886842703950839,0.49995733469637976,0.5000004275479547
33,1.3865835188215623,0.5009914740121575,0.4907423403445316,0.4800729273290399,0.4974348308175653,0.4906744034126299,0.47973402158136114,0.49997918812545583,0.5000002413915869
34,1.3865317130302635,0.5002952707646061,0.5026773384365442,0.4988430414161328,0.4995607398745513,0.5044197602511891,0.5007591673658898,0.499988837283496,0.49999996363843535
35,1.3864942508428086,0.49993244190971003,0.49924033801816703,0.4906920498509928,0.5013435404878871,0.501120677916307,0.4916224270616404,0.4999949058016136,0.49999998151227193
36,1.386478572950235,0.5002341601150623,0.5074074276265671,0.5065619824088495,0.49678586067412545,0.5051570456485591,0.502829251744526,0.4999976688205503,0.5000000597155067
37,1.3866164670931385,0.5005669429647753,0.49785050459075203,0.4933469216894992,0.4984125543012697,0.49730351837222647,0.4924020688309712,0.4999731471054387,0.500000268027075
38,1.3866031103070007,0.5004935307317541,0.4946341781995404,0.4889609506881812,0.4990816962941855,0.4952930116306765,0.48879236981142626,0.4999732760474381,0.49999845427186784
39,1.3866605224096187,0.500775354910171,0.496227024465654,0.4912066351437314,0.49809314868785093,0.4945929027612592,0.4895088065879863,0.4999668098231619,0.49999961737709053
40,1.3866173127841521,0.49959792217620347,0.5042416237474766,0.5080818483884707,0.4989716671587348,0.5030444661010007,0.5066664025949975,0.49997252932065844,0.4999999281664675
41,1.3865008421008362,0.5009083533625043,0.4943749146852326,0.4876202270346473,0.4996757991953521,0.4940725395567223,0.48593316795411856,0.4999926399499232,0.5000003476041951
42,1.3865634935319155,0.5001184863100911,0.5000790105090616,0.499051274053209,0.4981334719099003,0.49996829657675584,0.4988761530642618,0.4999828659219584,0.4999999952954174
43,1.3867705493764493,0.5003553650182306,0.4963203657135975,0.4920653361875168,0.49916518654626907,0.49579410477232944,0.49082373856178346,0.49993828173493693,0.5000002953886563
44,1.3866614755493643,0.5009326059106924,0.5025562822495352,0.5027576726981382,0.500310542111904,0.5029954189553588,0.5017723075792372,0.4999680833908321,0.49999995169074496
45,1.3864806885141963,0.5014248320925918,0.5079898532808129,0.5050297057441081,0.49542736342817817,0.5046793058176688,0.5012905574059378,0.49999718729791504,0.5000000001070062
46,1.3865015496052968,0.5006997470159497,0.5018588427634804,0.4922473732416279,0.4979972662424962,0.49899482930868294,0.48856580630154123,0.49999352206697245,0.4999999866219589
47,1.3866525444749225,0.5006719852153141,0.5036673253685086,0.5066645200115484,0.4992763030927511,0.5025570070086853,0.5043784195446898,0.4999641451006707,0.4999994251638621
48,1.3865942877504323,0.5001236442044436,0.5027370792695246,0.4950823352358235,0.5010317879119155,0.5046381627882838,0.49652429888889527,0.4999770753976873,0.4999999575716542
49,1.3865514884080588,0.4998552099828215,0.5026698264937314,0.5034576796930784,0.49745050830098486,0.5030181354551995,0.5031848297494538,0.4999845950337753,0.5000008297829289
