epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,valid_rmse,recall_5,recall_10,ndcg_5,ndcg_10
0,455.78125,17.0,44.06980013847351,"tf.Tensor(0.9066359, shape=(), dtype=float32)","tf.Tensor(0.9138627, shape=(), dtype=float32)",0.03347252254602989,0.04699571279115892,0.04490960589157755,0.0443946557201414
1,521.16015625,23.9,43.90478754043579,"tf.Tensor(0.8966282, shape=(), dtype=float32)","tf.Tensor(0.90561324, shape=(), dtype=float32)",0.020932382377601595,0.05144705381117646,0.03486727819807142,0.04573967352068548
2,548.53515625,22.9,44.08460569381714,"tf.Tensor(0.8949553, shape=(), dtype=float32)","tf.Tensor(0.904168, shape=(), dtype=float32)",0.022766176689387626,0.038803589721574175,0.035937663155595496,0.03849728369305588
3,574.00390625,24.3,43.911073207855225,"tf.Tensor(0.8947938, shape=(), dtype=float32)","tf.Tensor(0.90387344, shape=(), dtype=float32)",0.02048215235555389,0.03239849688059407,0.024023894430162004,0.026813096902814523
4,598.5625,23.2,43.9513897895813,"tf.Tensor(0.89413565, shape=(), dtype=float32)","tf.Tensor(0.90349996, shape=(), dtype=float32)",0.03882478615650234,0.06188520399902429,0.03722292006955242,0.04595165652319331
5,623.12890625,22.7,44.8811719417572,"tf.Tensor(0.8941278, shape=(), dtype=float32)","tf.Tensor(0.9032678, shape=(), dtype=float32)",0.01207517254755579,0.026316560592135323,0.026508988851313073,0.02681573167626799
6,648.65234375,24.8,44.47712850570679,"tf.Tensor(0.8939508, shape=(), dtype=float32)","tf.Tensor(0.9030952, shape=(), dtype=float32)",0.01854096616457445,0.03522367686834408,0.03615410257228365,0.039685359697349175
7,673.359375,24.9,47.147891998291016,"tf.Tensor(0.8941068, shape=(), dtype=float32)","tf.Tensor(0.90374136, shape=(), dtype=float32)",0.015731992224245317,0.029143844412186436,0.030759430979756083,0.0327684018341544
8,698.0,29.8,44.0661678314209,"tf.Tensor(0.89434254, shape=(), dtype=float32)","tf.Tensor(0.9037199, shape=(), dtype=float32)",0.016512340756038232,0.026111941422120893,0.03319666796010939,0.030812466302197
9,722.59765625,23.4,43.82740020751953,"tf.Tensor(0.8940028, shape=(), dtype=float32)","tf.Tensor(0.9036676, shape=(), dtype=float32)",0.011789740050609619,0.022941577551772455,0.014242243607380255,0.02344946361952104
10,748.0859375,23.4,44.03188610076904,"tf.Tensor(0.89450765, shape=(), dtype=float32)","tf.Tensor(0.9044926, shape=(), dtype=float32)",0.02542605262302232,0.030660290887563613,0.038995147119080045,0.03478415373417753
11,772.69140625,23.3,44.03111433982849,"tf.Tensor(0.8949068, shape=(), dtype=float32)","tf.Tensor(0.90462494, shape=(), dtype=float32)",0.017466058433800367,0.02891207436789485,0.020933451298340768,0.024990407676118903
12,797.32421875,23.9,43.99736571311951,"tf.Tensor(0.8948068, shape=(), dtype=float32)","tf.Tensor(0.9042283, shape=(), dtype=float32)",0.03217068097387246,0.04299894845107611,0.031156608235025248,0.03394586956806362
13,821.94921875,24.6,44.16737365722656,"tf.Tensor(0.893929, shape=(), dtype=float32)","tf.Tensor(0.9034182, shape=(), dtype=float32)",0.015261308739569608,0.02581480755737699,0.022948500607194333,0.027516365566145604
14,846.59765625,24.7,44.16934299468994,"tf.Tensor(0.87603825, shape=(), dtype=float32)","tf.Tensor(0.8910464, shape=(), dtype=float32)",0.03806172126484626,0.04832131121193622,0.04891323492835956,0.04662255969976175
15,871.19140625,23.9,44.075613021850586,"tf.Tensor(0.8670094, shape=(), dtype=float32)","tf.Tensor(0.8852831, shape=(), dtype=float32)",0.021781250902611272,0.04357399032692965,0.046187807141155016,0.04937449547940275
16,896.6953125,24.0,43.78853178024292,"tf.Tensor(0.86138976, shape=(), dtype=float32)","tf.Tensor(0.8823056, shape=(), dtype=float32)",0.03244668151365838,0.07096115405234221,0.044942811019344074,0.05505597061191493
17,921.38671875,23.1,44.08872675895691,"tf.Tensor(0.83905065, shape=(), dtype=float32)","tf.Tensor(0.8700104, shape=(), dtype=float32)",0.026837976837976837,0.0346610890956789,0.03241630605119681,0.03418547835310864
18,946.78515625,24.0,53.69427466392517,"tf.Tensor(0.8240504, shape=(), dtype=float32)","tf.Tensor(0.86544037, shape=(), dtype=float32)",0.033518844491384536,0.0623315536260751,0.03756673107134384,0.04682313458124581
19,967.765625,41.1,48.295379877090454,"tf.Tensor(0.8167235, shape=(), dtype=float32)","tf.Tensor(0.86424994, shape=(), dtype=float32)",0.03194129126807949,0.04828138093625728,0.04662362725289524,0.04726807271798522
20,992.39453125,35.1,44.24655103683472,"tf.Tensor(0.8059104, shape=(), dtype=float32)","tf.Tensor(0.8640855, shape=(), dtype=float32)",0.03281854368541675,0.06014188676533877,0.050031131563953134,0.05483514875538034
21,1017.875,23.8,44.01938319206238,"tf.Tensor(0.7896378, shape=(), dtype=float32)","tf.Tensor(0.8627367, shape=(), dtype=float32)",0.02917274548708372,0.06151544618915942,0.047702113749086374,0.05560005175591883
22,1042.5078125,23.5,43.93443560600281,"tf.Tensor(0.7823519, shape=(), dtype=float32)","tf.Tensor(0.86446244, shape=(), dtype=float32)",0.030834490023030722,0.04397091187787013,0.04585325343327081,0.05006154797926477
23,1067.1484375,23.1,44.156620264053345,"tf.Tensor(0.7732354, shape=(), dtype=float32)","tf.Tensor(0.86418176, shape=(), dtype=float32)",0.02094144887790967,0.03238004179771004,0.04326356723434518,0.042698273771393395
24,1091.984375,24.1,44.253753662109375,"tf.Tensor(0.76377004, shape=(), dtype=float32)","tf.Tensor(0.8664535, shape=(), dtype=float32)",0.04093445535482456,0.06600886814826114,0.06305275152916988,0.06679373119697016
25,1116.609375,24.4,44.91243505477905,"tf.Tensor(0.7574892, shape=(), dtype=float32)","tf.Tensor(0.8687173, shape=(), dtype=float32)",0.03402371757984462,0.08962052110034732,0.05213840540674334,0.06579026840779874
26,1141.21875,24.8,45.64470052719116,"tf.Tensor(0.7504817, shape=(), dtype=float32)","tf.Tensor(0.871234, shape=(), dtype=float32)",0.04878340449278664,0.07207434016530126,0.09118718952927315,0.0880794713822247
27,1165.83984375,27.6,44.18747520446777,"tf.Tensor(0.7423783, shape=(), dtype=float32)","tf.Tensor(0.8738857, shape=(), dtype=float32)",0.028004707473762006,0.04476837059352328,0.05017570472450497,0.050587135394109896
28,1191.31640625,24.1,44.382906675338745,"tf.Tensor(0.73261356, shape=(), dtype=float32)","tf.Tensor(0.87611216, shape=(), dtype=float32)",0.038003232137251826,0.0578570364405419,0.05751952218544631,0.06015180889425319
29,1215.9609375,24.5,44.11661243438721,"tf.Tensor(0.7243303, shape=(), dtype=float32)","tf.Tensor(0.8812049, shape=(), dtype=float32)",0.017735115596846495,0.03155709557836595,0.0312111535404752,0.03602205235722464
30,1240.58203125,22.9,43.982497453689575,"tf.Tensor(0.72025377, shape=(), dtype=float32)","tf.Tensor(0.8845117, shape=(), dtype=float32)",0.014090105120216773,0.029888571118150853,0.03840853718782352,0.03950645340755215
31,1265.20703125,23.9,44.13709759712219,"tf.Tensor(0.71719, shape=(), dtype=float32)","tf.Tensor(0.88708967, shape=(), dtype=float32)",0.03350358541685072,0.051704422750341116,0.04320786890282781,0.0456775491170521
32,1289.81640625,22.9,43.99245262145996,"tf.Tensor(0.71466786, shape=(), dtype=float32)","tf.Tensor(0.88980484, shape=(), dtype=float32)",0.021634739388362575,0.040392538121697734,0.034020783102425074,0.04157874484221889
33,1314.4296875,23.5,43.743752002716064,"tf.Tensor(0.7062432, shape=(), dtype=float32)","tf.Tensor(0.894828, shape=(), dtype=float32)",0.023028055963377266,0.03653383294571266,0.044109469203576626,0.04645470432065733
34,1339.0546875,23.3,44.500781297683716,"tf.Tensor(0.697859, shape=(), dtype=float32)","tf.Tensor(0.89554745, shape=(), dtype=float32)",0.02289784904674812,0.03996913939528216,0.06474660719532109,0.061647118678795514
35,1363.6796875,24.6,44.186211824417114,"tf.Tensor(0.690245, shape=(), dtype=float32)","tf.Tensor(0.900562, shape=(), dtype=float32)",0.04494157112016325,0.05502870620729834,0.0684105589751163,0.06233924082105746
36,1389.16015625,23.5,43.81769156455994,"tf.Tensor(0.68223435, shape=(), dtype=float32)","tf.Tensor(0.9056967, shape=(), dtype=float32)",0.016844252561164327,0.03714478536169712,0.039703148131591585,0.039621762920447105
37,1413.7890625,22.3,44.14438581466675,"tf.Tensor(0.6754004, shape=(), dtype=float32)","tf.Tensor(0.912168, shape=(), dtype=float32)",0.03885914070177105,0.07709088070254508,0.04795841733648873,0.06288006995332222
38,1438.8671875,23.5,44.31850337982178,"tf.Tensor(0.6712448, shape=(), dtype=float32)","tf.Tensor(0.9146333, shape=(), dtype=float32)",0.023185759797149035,0.037387189885625435,0.04709577393126459,0.044952015665135944
39,1463.20703125,24.5,44.793556451797485,"tf.Tensor(0.6631503, shape=(), dtype=float32)","tf.Tensor(0.9197432, shape=(), dtype=float32)",0.032019915607803075,0.04299620945657384,0.05796799174897121,0.05655984054186946
40,1487.87890625,25.3,43.904051542282104,"tf.Tensor(0.6555544, shape=(), dtype=float32)","tf.Tensor(0.9263717, shape=(), dtype=float32)",0.013656261367010475,0.045147415010603834,0.03623372021482181,0.043211056073083134
41,1512.5,22.7,43.80250859260559,"tf.Tensor(0.6487262, shape=(), dtype=float32)","tf.Tensor(0.9321846, shape=(), dtype=float32)",0.029750599946069437,0.049037731829160755,0.04428497109060782,0.04871272409304056
42,1537.11328125,22.7,44.49434447288513,"tf.Tensor(0.64079916, shape=(), dtype=float32)","tf.Tensor(0.9385116, shape=(), dtype=float32)",0.03044123193553934,0.03769941580662643,0.05371824691262107,0.047431174659303924
43,1561.96875,24.1,44.096248388290405,"tf.Tensor(0.6336743, shape=(), dtype=float32)","tf.Tensor(0.94364375, shape=(), dtype=float32)",0.038480192403475284,0.05221136668555106,0.054929936643416034,0.055645882460331246
44,1586.5625,22.7,43.93211650848389,"tf.Tensor(0.62969077, shape=(), dtype=float32)","tf.Tensor(0.948781, shape=(), dtype=float32)",0.025240629924805066,0.044083948815188054,0.04968040160458141,0.05108834024645269
45,1573.44921875,22.3,44.6571991443634,"tf.Tensor(0.62643516, shape=(), dtype=float32)","tf.Tensor(0.95382047, shape=(), dtype=float32)",0.022235543795191364,0.038359853911958376,0.043400079376883394,0.04500845809579723
46,1598.09375,25.7,46.56956720352173,"tf.Tensor(0.618637, shape=(), dtype=float32)","tf.Tensor(0.9589169, shape=(), dtype=float32)",0.03139776277386899,0.04293746492629786,0.0514205104003233,0.0508562513866611
47,1622.72265625,27.9,43.907480239868164,"tf.Tensor(0.6133927, shape=(), dtype=float32)","tf.Tensor(0.9628922, shape=(), dtype=float32)",0.03155985930422472,0.05302845580079435,0.057045436447466645,0.05717968566342375
48,1647.359375,23.0,44.16629600524902,"tf.Tensor(0.60675555, shape=(), dtype=float32)","tf.Tensor(0.96920323, shape=(), dtype=float32)",0.01169531754507124,0.02004045236167259,0.0263334280713743,0.026043481380090522
49,1672.8515625,23.2,43.932886600494385,"tf.Tensor(0.5969186, shape=(), dtype=float32)","tf.Tensor(0.9786637, shape=(), dtype=float32)",0.03997302516324255,0.04833091123851993,0.050506035868694545,0.04814525456088193
